"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.645281300E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
6.151671900E-2,-1.314913034E-1,4.908275604E-2,5.023908615E-2,1.490739602E-1
6.678927100E-2,-1.888020039E-1,7.293891907E-2,6.844043732E-2,2.136594862E-1
7.157427100E-2,-1.934251785E-1,1.183910370E-1,1.454238892E-1,2.694027559E-1
7.657078200E-2,-1.678384542E-1,1.209049225E-1,1.973419189E-1,2.858873554E-1
8.160020900E-2,-7.872653008E-2,8.053684235E-2,2.649106979E-1,2.878571302E-1
8.666625100E-2,7.227420807E-2,4.031372070E-2,3.634090424E-1,3.727128778E-1
9.166479200E-2,2.128388882E-1,-3.999233246E-2,4.114966393E-1,4.650045839E-1
9.672468800E-2,3.106799126E-1,-8.232402802E-2,3.761191368E-1,4.947371613E-1
1.017527610E-1,2.809777260E-1,-6.554603577E-2,2.633252144E-1,3.906212153E-1
1.067837510E-1,2.212743759E-1,-1.195049286E-2,2.118606567E-1,3.065780514E-1
1.117816150E-1,1.586960554E-1,7.195472717E-2,1.847267151E-1,2.539407018E-1
1.168076050E-1,1.720333099E-1,1.100540161E-1,1.746349335E-1,2.687093340E-1
1.218393760E-1,1.980816126E-1,1.548271179E-1,1.267967224E-1,2.815762250E-1
1.269014070E-1,2.720988989E-1,1.436624527E-1,4.294013977E-2,3.106775928E-1
1.318977610E-1,3.199833632E-1,1.563367844E-1,-1.117925644E-1,3.732668218E-1
1.369270840E-1,3.578225374E-1,1.509656906E-1,-2.311983109E-1,4.519737459E-1
1.419881780E-1,3.506658077E-1,1.239118576E-1,-2.865424156E-1,4.694967658E-1
1.470192190E-1,3.506276608E-1,1.259613037E-2,-4.085006714E-1,5.384897562E-1
1.520131780E-1,3.389614820E-1,-7.479190826E-2,-4.623928070E-1,5.781832096E-1
1.570557820E-1,1.795707941E-1,-1.170454025E-1,-5.292220116E-1,5.709826914E-1
1.621075530E-1,-3.159999847E-3,-1.163702011E-1,-5.353298187E-1,5.478412399E-1
1.671363030E-1,-1.501133442E-1,-9.295463562E-2,-4.692239761E-1,5.013439141E-1
1.721384900E-1,-1.948140860E-1,-1.165332794E-1,-3.883848190E-1,4.498614242E-1
1.771780210E-1,-1.921256781E-1,-1.256713867E-1,-3.295550346E-1,4.016367693E-1
1.822029170E-1,-2.086586952E-1,-9.340000153E-2,-2.453403473E-1,3.353414639E-1
1.872278130E-1,-2.068142891E-1,-9.030723572E-2,-1.502332687E-1,2.711043748E-1
1.922838030E-1,-2.193640471E-1,-6.469249725E-2,-8.108091354E-2,2.426516410E-1
1.973171880E-1,-2.600306273E-1,-8.666324615E-2,-4.241466522E-3,2.741248536E-1
2.023505740E-1,-3.140978813E-1,-7.136440277E-2,3.857088089E-2,3.244041767E-1
2.073839590E-1,-2.748007774E-1,-1.126565933E-1,1.088600159E-1,3.163186342E-1
2.124133860E-1,-2.006236315E-1,-1.207304001E-1,1.873650551E-1,2.998855363E-1
2.174465630E-1,-1.387671232E-1,-1.012830734E-1,2.229104042E-1,2.814313837E-1
2.224797400E-1,-1.072794199E-1,-1.790618896E-2,2.167940140E-1,2.425472120E-1
2.274911990E-1,-1.053864956E-1,2.558135986E-2,2.164087296E-1,2.420608553E-1
2.325229170E-1,-1.088643074E-2,6.757545471E-2,-1.508932114E-1,1.656916343E-1
2.375758860E-1,7.165408134E-2,3.401851654E-2,-7.087574005E-1,7.131820382E-1
2.426097400E-1,9.187555313E-2,6.269645691E-2,-1.179085732E0,1.184320533E0
2.476435940E-1,1.124547720E-1,7.787418365E-2,-1.351025105E0,1.357931993E0
